paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
SANTANA DO IPANEMA,AL,1010,Alta Vacinação
JOSE BOITEUX,SC,9,Baixa Vacinação
NHAMUNDA,AM,11,Baixa Vacinação
SAO JOAO DO PACUI,MG,20,Baixa Vacinação
ONDA VERDE,SP,4045,Alta Vacinação
SAO JOAO DE IRACEMA,SP,1586,Alta Vacinação
FLORESTA AZUL,BA,631,Alta Vacinação
LIMOEIRO DE ANADIA,AL,608,Alta Vacinação
CAMPINAS DO SUL,RS,17,Baixa Vacinação
MORRO GRANDE,SC,8,Baixa Vacinação
FAXINAL DOS GUEDES,SC,23,Baixa Vacinação
NOVO XINGU,RS,4,Baixa Vacinação
SENTINELA DO SUL,RS,4,Baixa Vacinação
ANHANGUERA,GO,5,Baixa Vacinação
URUTAI,GO,14,Baixa Vacinação
PARANAGUA,PR,805,Alta Vacinação
ARUJA - SP,"",1,Baixa Vacinação
PARAU,RN,12,Baixa Vacinação
AGUIA BRANCA,ES,15,Baixa Vacinação
TRES ARROIOS,RS,5,Baixa Vacinação
PINHAL DA SERRA,RS,2,Baixa Vacinação
CENTENARIO,RS,2,Baixa Vacinação
SANTA FILOMENA,PI,10,Baixa Vacinação
WESTFALIA,RS,6,Baixa Vacinação
ROSANA,SP,11422,Alta Vacinação
CATAS ALTAS,MG,13,Baixa Vacinação
BORBOREMA,SP,12452,Alta Vacinação
ARVOREZINHA,RS,8,Baixa Vacinação
GUAICARA,SP,7197,Alta Vacinação
VARGEM,SP,7006,Alta Vacinação
APARECIDA DO TABOADO,MS,1220,Alta Vacinação
JABOTICABAL,SP,43723,Alta Vacinação
BARRA DO RIO AZUL,RS,1,Baixa Vacinação
DIRCE REIS,SP,1389,Alta Vacinação
FORMIGA,MG,557,Alta Vacinação
QUATA,SP,9033,Alta Vacinação
PARANATAMA,PE,598,Alta Vacinação
ANGATUBA,SP,16274,Alta Vacinação
BOA VISTA DO SUL,RS,2,Baixa Vacinação
CARACAS,SP,1,Baixa Vacinação
BOSSOROCA,RS,3,Baixa Vacinação
MANOEL VITORINO,BA,929,Alta Vacinação
SAUDADE DO IGUACU,PR,24,Baixa Vacinação
TUBARAO,SC,590,Alta Vacinação
ACEGUA,RS,7,Baixa Vacinação
ARABUTA,SC,8,Baixa Vacinação
LAGUNA CARAPA,MS,20,Baixa Vacinação
LAVRINHAS,SP,4379,Alta Vacinação
SAO JOAO,PE,600,Alta Vacinação
GENERAL SALGADO,SP,7788,Alta Vacinação
UBIRAJARA,SP,2119,Alta Vacinação
ANGELIM,PE,536,Alta Vacinação
SAO JOAO DEL REI,MG,603,Alta Vacinação
OLIVEIRA FORTES,MG,9,Baixa Vacinação
TASSO FRAGOSO,MA,13,Baixa Vacinação
MONTALVANIA,MG,527,Alta Vacinação
IBITURUNA,MG,20,Baixa Vacinação
BELA VISTA DA CAROBA,PR,10,Baixa Vacinação
SAO JOSE DO XINGU,MT,19,Baixa Vacinação
LOUVEIRA,SP,33579,Alta Vacinação
NOVA SOURE,BA,1599,Alta Vacinação
FRONTEIRA,MG,1092,Alta Vacinação
REGINOPOLIS,SP,11822,Alta Vacinação
CUNHA,SP,14326,Alta Vacinação
ICEM,SP,5338,Alta Vacinação
IPUACU,SC,10,Baixa Vacinação
MINAS DO LEAO,RS,4,Baixa Vacinação
SAO SEBASTIAO DA GRAMA,SP,7156,Alta Vacinação
JAGUARI,RS,11,Baixa Vacinação
CARAGUATATUBA,SP,77158,Alta Vacinação
ANDRADAS,MG,2504,Alta Vacinação
CARIACICA,ES,1095,Alta Vacinação
BONFIM,RR,16,Baixa Vacinação
VALENCA DO PIAUI,PI,839,Alta Vacinação
BARRA DO OURO,TO,4,Baixa Vacinação
SALVADOR DO SUL,RS,19,Baixa Vacinação
COLORADO,RS,2,Baixa Vacinação
GURUPA,PA,11,Baixa Vacinação
CESARIO LANGE,"",2,Baixa Vacinação
SALINAS,MG,1233,Alta Vacinação
AGUAS DA PRATA,SP,5806,Alta Vacinação
CANHOTINHO,PE,787,Alta Vacinação
PORTELANDIA,GO,21,Baixa Vacinação
TEREZOPOLIS DE GOIAS,GO,20,Baixa Vacinação
IBIRAIARAS,RS,16,Baixa Vacinação
NOVA LUZITANIA,SP,2371,Alta Vacinação
BRASILIA,DF,18151,Alta Vacinação
SALDANHA MARINHO,RS,2,Baixa Vacinação
GAMELEIRA,PE,540,Alta Vacinação
GARCA,SP,26595,Alta Vacinação
JABOATAO DOS GUARARAPES,PE,5180,Alta Vacinação
FLORIDA PAULISTA,SP,7009,Alta Vacinação
DOVERLANDIA,GO,25,Baixa Vacinação
Ribeirão Branco,"",1,Baixa Vacinação
CRUZALTENSE,RS,2,Baixa Vacinação
são paulo,None,2,Baixa Vacinação
LEANDRO FERREIRA,MG,10,Baixa Vacinação
CARDOSO,SP,8088,Alta Vacinação
INDAIAL,SC,511,Alta Vacinação
CIRIACO,RS,4,Baixa Vacinação
RIBEIRA DO AMPARO,BA,870,Alta Vacinação
JERIQUARA,SP,2603,Alta Vacinação
CAMBUI,MG,1579,Alta Vacinação
NOVA UNIAO,MG,7,Baixa Vacinação
FIGUEIROPOLIS D'OESTE,MT,19,Baixa Vacinação
PINDORAMA DO TOCANTINS,TO,11,Baixa Vacinação
FLORES,PE,919,Alta Vacinação
OLINDINA,BA,1494,Alta Vacinação
CRISTIANOPOLIS,GO,16,Baixa Vacinação
GROSSOS,RN,22,Baixa Vacinação
SANDOLANDIA,TO,6,Baixa Vacinação
BALIZA,GO,16,Baixa Vacinação
RIO DE JANEIRO,RJ,49318,Alta Vacinação
ACORIZAL,MT,9,Baixa Vacinação
ITAPIRAPUA PAULISTA,SP,2773,Alta Vacinação
POMPEIA,SP,11827,Alta Vacinação
VARZEDO,BA,18,Baixa Vacinação
SANTO ANTONIO DAS MISSOES,RS,8,Baixa Vacinação
SUD MENNUCCI,SP,5559,Alta Vacinação
NOVA FRIBURGO,RJ,629,Alta Vacinação
CONCEICAO,PB,541,Alta Vacinação
ITAGUARI,GO,16,Baixa Vacinação
ANAJAS,PA,10,Baixa Vacinação
CABREUVA,SP,24226,Alta Vacinação
IPE,RS,12,Baixa Vacinação
PAULO DE FARIA,SP,6151,Alta Vacinação
VARRE-SAI,RJ,18,Baixa Vacinação
RIO PARDO DE MINAS,MG,816,Alta Vacinação
COROATA,MA,740,Alta Vacinação
ITAPICURU,BA,1423,Alta Vacinação
PINDAMONHANGABA,SP,103195,Alta Vacinação
SANTO ANTONIO DO JARDIM,SP,3600,Alta Vacinação
INGAI,MG,10,Baixa Vacinação
ANANINDEUA,PA,2346,Alta Vacinação
ASSUNCAO,PB,23,Baixa Vacinação
IBIAM,SC,15,Baixa Vacinação
DORES DE GUANHAES,MG,13,Baixa Vacinação
TAUBATE,SP,189012,Alta Vacinação
FOZ DO JORDAO,PR,14,Baixa Vacinação
SENADOR CORTES,MG,6,Baixa Vacinação
CAPAO BONITO - SP,"",1,Baixa Vacinação
JURAMENTO,MG,23,Baixa Vacinação
SAO JOSE DO HERVAL,RS,1,Baixa Vacinação
ITAI,SP,20404,Alta Vacinação
NOVA NAZARE,MT,14,Baixa Vacinação
OIAPOQUE,AP,26,Baixa Vacinação
PEJUCARA,RS,7,Baixa Vacinação
PORTO FERREIRA,SP,35240,Alta Vacinação
SAO PEDRO DO BUTIA,RS,1,Baixa Vacinação
CAMPO MOURAO,PR,1504,Alta Vacinação
JOSE BONIFACIO - SP,None,2,Baixa Vacinação
CERRITO,RS,6,Baixa Vacinação
INHUMA,PI,764,Alta Vacinação
CARAUARI,AM,24,Baixa Vacinação
LICINIO DE ALMEIDA,BA,547,Alta Vacinação
EMBU,None,1,Baixa Vacinação
MAZAGAO,AP,13,Baixa Vacinação
RIO DAS ANTAS,SC,11,Baixa Vacinação
ERMO,SC,4,Baixa Vacinação
LAGOA DO OURO,PE,555,Alta Vacinação
BARAO,RS,4,Baixa Vacinação
RIACHO FRIO,PI,21,Baixa Vacinação
VILA PAVAO,ES,5,Baixa Vacinação
CUITE DE MAMANGUAPE,PB,21,Baixa Vacinação
CANDEIAS,BA,846,Alta Vacinação
SALTO VELOSO,SC,4,Baixa Vacinação
RUY BARBOSA,RN,10,Baixa Vacinação
PEDRAS GRANDES,SC,2,Baixa Vacinação
SANTA MARIA DAS BARREIRAS,PA,19,Baixa Vacinação
TAVARES,PB,1075,Alta Vacinação
ESCADA,PE,643,Alta Vacinação
PEDRA DOURADA,MG,4,Baixa Vacinação
BRUNOPOLIS,SC,3,Baixa Vacinação
CAIANA,MG,16,Baixa Vacinação
VILA FLOR,RN,14,Baixa Vacinação
IPUPIARA,BA,799,Alta Vacinação
SANTO AUGUSTO,RS,23,Baixa Vacinação
SAO FRANCISCO DE GOIAS,GO,8,Baixa Vacinação
BERNARDO SAYAO,TO,11,Baixa Vacinação
RIO FORTUNA,SC,11,Baixa Vacinação
RONDONOPOLIS,MT,1425,Alta Vacinação
GUAJARA,AM,9,Baixa Vacinação
JACAREI,SP,143749,Alta Vacinação
SANTO ESTEVAO,BA,2101,Alta Vacinação
PASSA QUATRO,MG,861,Alta Vacinação
SAO JOAO DA PARAUNA,GO,4,Baixa Vacinação
ANGATUBA - SP,"",1,Baixa Vacinação
SAO JOAO DO CARIRI,PB,20,Baixa Vacinação
RIO DOS BOIS,TO,15,Baixa Vacinação
NOVO BRASIL,GO,5,Baixa Vacinação
FLORA RICA,SP,1513,Alta Vacinação
RIBEIRAO GRANDE,SP,6708,Alta Vacinação
DOM PEDRO DE ALCANTARA,RS,6,Baixa Vacinação
SP,None,1,Baixa Vacinação
VICTOR GRAEFF,RS,4,Baixa Vacinação
MINGA GUAZÚ,"",1,Baixa Vacinação
SENGES,PR,676,Alta Vacinação
SENTO SE,BA,596,Alta Vacinação
CAMPO DO MEIO,MG,585,Alta Vacinação
PARIQUERA-ACU,SP,11862,Alta Vacinação
MATRIZ DE CAMARAGIBE,AL,528,Alta Vacinação
JACUTINGA,MG,1391,Alta Vacinação
FORMOSA DA SERRA NEGRA,MA,17,Baixa Vacinação
TEOFILO OTONI,MG,1550,Alta Vacinação
SAGRES,SP,1688,Alta Vacinação
SANTANA DOS MONTES,MG,18,Baixa Vacinação
NOVA IGUACU DE GOIAS,GO,11,Baixa Vacinação
TUPANDI,RS,5,Baixa Vacinação
SUZANO,SP,178325,Alta Vacinação
VIRGEM DA LAPA,MG,624,Alta Vacinação
AGUA DOCE,SC,20,Baixa Vacinação
CRISTOPOLIS,BA,21,Baixa Vacinação
UNIAO DOS PALMARES,AL,1443,Alta Vacinação
GALVAO,SC,3,Baixa Vacinação
SAO VICENTE DO SUL,RS,10,Baixa Vacinação
CAMANDUCAIA,MG,1211,Alta Vacinação
SANTANA DA PONTE PENSA,SP,1296,Alta Vacinação
VARGINHA,MG,3130,Alta Vacinação
TURVANIA,GO,7,Baixa Vacinação
CAJOBI,SP,7016,Alta Vacinação
CANANEIA,SP,6800,Alta Vacinação
BALBINOS,SP,2853,Alta Vacinação
JABOTICABA,RS,9,Baixa Vacinação
TAIOBEIRAS,MG,937,Alta Vacinação
tupa,None,1,Baixa Vacinação
AGUA PRETA,PE,672,Alta Vacinação
CAJATI,SP,19762,Alta Vacinação
SAO JOAO DOS PATOS,MA,506,Alta Vacinação
ANORI,AM,19,Baixa Vacinação
CARMESIA,MG,9,Baixa Vacinação
FORMIGUEIRO,RS,7,Baixa Vacinação
BREJINHO DE NAZARE,TO,19,Baixa Vacinação
SEBASTIAO LARANJEIRAS,BA,616,Alta Vacinação
WIEDENBORSTEL,None,1,Baixa Vacinação
NOVA OLINDA DO NORTE,AM,12,Baixa Vacinação
DAVID CANABARRO,RS,2,Baixa Vacinação
IGUAI,BA,1431,Alta Vacinação
SAO DOMINGOS DO CARIRI,PB,8,Baixa Vacinação
SORRISO,MT,687,Alta Vacinação
VICOSA,RN,25,Baixa Vacinação
BANDEIRANTES,PR,1056,Alta Vacinação
CODAJAS,AM,9,Baixa Vacinação
RIO REAL,BA,1175,Alta Vacinação
MIMOSO DE GOIAS,GO,1,Baixa Vacinação
CANAS,SP,2178,Alta Vacinação
MONTE AZUL,MG,748,Alta Vacinação
FLORIANO PEIXOTO,RS,1,Baixa Vacinação
MORRO DO CHAPEU,BA,667,Alta Vacinação
VITORIA,ES,3397,Alta Vacinação
ITAMBE,PE,554,Alta Vacinação
CORNELIO PROCOPIO,PR,899,Alta Vacinação
PLANURA,MG,834,Alta Vacinação
BOM JESUS DO TOCANTINS,TO,4,Baixa Vacinação
FATIMA,BA,685,Alta Vacinação
IGUATU,PR,20,Baixa Vacinação
TRES PONTAS,MG,863,Alta Vacinação
AUGUSTO PESTANA,RS,1,Baixa Vacinação
ITAPORANGA,SP,11038,Alta Vacinação
PINHEIRINHO DO VALE,RS,8,Baixa Vacinação
TUCANO,BA,2038,Alta Vacinação
PANORAMA,SP,9415,Alta Vacinação
PENALVA,MA,696,Alta Vacinação
SAO BENEDITO,CE,1155,Alta Vacinação
PARAMIRIM,BA,992,Alta Vacinação
ITAPUI,SP,7264,Alta Vacinação
VALE REAL,RS,16,Baixa Vacinação
CHIADOR,MG,12,Baixa Vacinação
CADAO,None,1,Baixa Vacinação
ALTO RIO NOVO,ES,11,Baixa Vacinação
VIRADOURO,SP,12870,Alta Vacinação
AGUA LIMPA,GO,4,Baixa Vacinação
CAPAO DO LEAO,RS,19,Baixa Vacinação
JABORA,SC,12,Baixa Vacinação
RIO VERMELHO,MG,817,Alta Vacinação
PATO BRAGADO,PR,16,Baixa Vacinação
MAXIMILIANO DE ALMEIDA,RS,3,Baixa Vacinação
ITAJUBA,MG,4520,Alta Vacinação
BUGRE,MG,23,Baixa Vacinação
SAO DOMINGOS,GO,22,Baixa Vacinação
DESCALVADO,SP,21737,Alta Vacinação
IRAPUA,SP,5755,Alta Vacinação
VARZEA DA ROCA,BA,587,Alta Vacinação
GANDU,BA,762,Alta Vacinação
ERVAL VELHO,SC,4,Baixa Vacinação
ARROIO DO TIGRE,RS,4,Baixa Vacinação
IBIMIRIM,PE,936,Alta Vacinação
CANDIDO MOTA,SP,19052,Alta Vacinação
PLANALTO DA SERRA,MT,16,Baixa Vacinação
PRESIDENTE BERNARDES,SP,7982,Alta Vacinação
ARMAZEM,SC,8,Baixa Vacinação
ONCA DE PITANGUI,MG,8,Baixa Vacinação
SAO JOSE DE PIRANHAS,PB,541,Alta Vacinação
SANTA BRANCA,SP,8960,Alta Vacinação
GOIANA,PE,534,Alta Vacinação
VISTA ALEGRE,RS,5,Baixa Vacinação
SANTO ANTONIO DOS MILAGRES,PI,14,Baixa Vacinação
CAMPOS DO JORDAO,SP,30307,Alta Vacinação
ALVARES MACHADO,SP,16554,Alta Vacinação
BERTIOGA,SP,31115,Alta Vacinação
CACHOEIRA DA PRATA,MG,9,Baixa Vacinação
CAETANOS,BA,580,Alta Vacinação
AMETISTA DO SUL,RS,9,Baixa Vacinação
GOVERNADOR MANGABEIRA,BA,615,Alta Vacinação
SANTA ADELIA,SP,9145,Alta Vacinação
CASSERENGUE,PB,529,Alta Vacinação
ERVAL GRANDE,RS,19,Baixa Vacinação
TUPA,SP,42018,Alta Vacinação
BAYEUX,PB,632,Alta Vacinação
CAMPINAS,SP,754323,Alta Vacinação
ABREU E LIMA,PE,684,Alta Vacinação
VILA BOA,GO,12,Baixa Vacinação
PORTO RICO DO MARANHAO,MA,13,Baixa Vacinação
SUMARE - SP,None,1,Baixa Vacinação
JACOBINA,BA,1908,Alta Vacinação
ALVORADA DE MINAS,MG,1,Baixa Vacinação
GUARAREMA,SP,25843,Alta Vacinação
BETIM,MG,2504,Alta Vacinação
ITUBERA,BA,631,Alta Vacinação
CHUI,RS,17,Baixa Vacinação
EXU,PE,526,Alta Vacinação
PROFESSOR ANTONIO DE QUEIROZ,"",1,Baixa Vacinação
GUARINOS,GO,1,Baixa Vacinação
RIO VERDE,GO,1736,Alta Vacinação
MIRA ESTRELA,SP,2510,Alta Vacinação
ITATINGA,SP,14203,Alta Vacinação
IBIRAPUITA,RS,3,Baixa Vacinação
RIBEIRAO DO SUL,SP,2979,Alta Vacinação
NOVO HORIZONTE,BA,555,Alta Vacinação
CABACEIRAS,PB,20,Baixa Vacinação
SUL BRASIL,SC,5,Baixa Vacinação
NOVO CABRAIS,RS,2,Baixa Vacinação
MONTE SANTO DO TOCANTINS,TO,4,Baixa Vacinação
VOLTA GRANDE,MG,22,Baixa Vacinação
SANTA CRUZ DO RIO PARDO,SP,30760,Alta Vacinação
RODRIGUES ALVES,AC,5,Baixa Vacinação
CAICARA,RS,10,Baixa Vacinação
GUARATINGUETA,SP,74753,Alta Vacinação
DRACENA,SP,26778,Alta Vacinação
CHUVISCA,RS,1,Baixa Vacinação
BELLA VISTA,None,1,Baixa Vacinação
LARANJAL,MG,11,Baixa Vacinação
ARAPONGAS,PR,1385,Alta Vacinação
AGUAS LINDAS DE GOIAS,GO,582,Alta Vacinação
CORUMBA,MS,718,Alta Vacinação
MOGI DAS CRUZES - SP,"",3,Baixa Vacinação
PONTALINDA,SP,2996,Alta Vacinação
ITUMBIARA,GO,1142,Alta Vacinação
TAVARES,RS,12,Baixa Vacinação
TUNAPOLIS,SC,19,Baixa Vacinação
ARAMINA,SP,3934,Alta Vacinação
MELGACO,PA,18,Baixa Vacinação
GRAVATAI,RS,692,Alta Vacinação
QUIXERAMOBIM,CE,649,Alta Vacinação
BROTAS DE MACAUBAS,BA,1152,Alta Vacinação
SENADOR RUI PALMEIRA,AL,603,Alta Vacinação
TANABI,SP,18355,Alta Vacinação
CAPIVARI DO SUL,RS,7,Baixa Vacinação
CAMBARA DO SUL,RS,14,Baixa Vacinação
CACHOEIRO DE ITAPEMIRIM,ES,556,Alta Vacinação
CEDRAL,SP,7317,Alta Vacinação
CARIRIACU,CE,560,Alta Vacinação
MATO LEITAO,RS,2,Baixa Vacinação
NOVA IGUACU,RJ,2350,Alta Vacinação
NOVA ITABERABA,SC,15,Baixa Vacinação
INDIAVAI,MT,18,Baixa Vacinação
MOCAJUBA,PA,25,Baixa Vacinação
SILVEIRA MARTINS,RS,3,Baixa Vacinação
QUIRINOPOLIS,GO,528,Alta Vacinação
CAMACAN,BA,572,Alta Vacinação
SAO JOSE DO SABUGI,PB,18,Baixa Vacinação
CACEQUI,RS,15,Baixa Vacinação
ZACARIAS,SP,1786,Alta Vacinação
PALHOCA,SC,1219,Alta Vacinação
UIRAMUTA,RR,3,Baixa Vacinação
RANCHARIA,SP,20388,Alta Vacinação
SAO PAULO,"",1,Baixa Vacinação
CORDEIROPOLIS,SP,16960,Alta Vacinação
COXILHA,RS,5,Baixa Vacinação
LAGOA GRANDE,MG,25,Baixa Vacinação
SAPUCAIA,PA,10,Baixa Vacinação
SAO VENDELINO,RS,2,Baixa Vacinação
NOVA ESPERANCA DO SUL,RS,8,Baixa Vacinação
SANTA LUZIA,MG,605,Alta Vacinação
PARICONHA,AL,501,Alta Vacinação
CUBATAO,SP,74035,Alta Vacinação
COTIA,SP,144902,Alta Vacinação
URUPES,SP,9292,Alta Vacinação
FERNANDO PRESTES,SP,4923,Alta Vacinação
INHANGAPI,PA,17,Baixa Vacinação
HEITORAI,GO,5,Baixa Vacinação
INDEPENDENCIA,CE,548,Alta Vacinação
RIO RUFINO,SC,3,Baixa Vacinação
ADRIANOPOLIS,PR,584,Alta Vacinação
IGARAPAVA,SP,15123,Alta Vacinação
PATO BRANCO,PR,609,Alta Vacinação
PANTANO GRANDE,RS,2,Baixa Vacinação
CERRO GRANDE,RS,9,Baixa Vacinação
BRAZABRANTES,GO,12,Baixa Vacinação
BRASILANDIA,MS,609,Alta Vacinação
NINHEIRA,MG,734,Alta Vacinação
CEZARINA,GO,24,Baixa Vacinação
ITAIBA,PE,1093,Alta Vacinação
SANTALUZ,BA,1365,Alta Vacinação
FLOR DA SERRA DO SUL,PR,19,Baixa Vacinação
ESTRELA VELHA,RS,2,Baixa Vacinação
CRUZALIA,SP,1586,Alta Vacinação
TRES RANCHOS,GO,22,Baixa Vacinação
NOVO TIRADENTES,RS,4,Baixa Vacinação
TIMBE DO SUL,SC,13,Baixa Vacinação
SAO JOSE DA BELA VISTA,SP,5018,Alta Vacinação
SILVEIRAS,SP,3275,Alta Vacinação
MONGAGUA,SP,30990,Alta Vacinação
PRESIDENTE JANIO QUADROS,BA,1255,Alta Vacinação
IBITINGA,"",1,Baixa Vacinação
ACARAU,CE,628,Alta Vacinação
SERRA DO RAMALHO,BA,914,Alta Vacinação
BARRA DE SAO MIGUEL,PB,22,Baixa Vacinação
LEOPOLDO DE BULHOES,GO,20,Baixa Vacinação
UBA,MG,610,Alta Vacinação
JUQUITIBA,SP,18329,Alta Vacinação
ITATIBA,SP,68620,Alta Vacinação
POUSO ALEGRE,MG,7762,Alta Vacinação
PARANAPANEMA,SP,12779,Alta Vacinação
ITAUBAL,AP,9,Baixa Vacinação
FILADELFIA,BA,500,Alta Vacinação
APARECIDA D'OESTE,SP,4131,Alta Vacinação
PORTO ACRE,AC,15,Baixa Vacinação
FLORES DE GOIAS,GO,15,Baixa Vacinação
MATA,RS,8,Baixa Vacinação
JURUA,AM,2,Baixa Vacinação
CASCAVEL,PR,3796,Alta Vacinação
PEQUERI,MG,7,Baixa Vacinação
ESTRELA DE ALAGOAS,AL,1177,Alta Vacinação
CIUDAD DEL ESTE,"",2,Baixa Vacinação
CRIXAS DO TOCANTINS,TO,5,Baixa Vacinação
CRUZ DAS ALMAS,BA,915,Alta Vacinação
MAUA - SP,"",1,Baixa Vacinação
VALENTIM GENTIL,SP,9097,Alta Vacinação
CRISTAIS PAULISTA,SP,6752,Alta Vacinação
APARECIDA DO RIO DOCE,GO,23,Baixa Vacinação
MARILIA,SP,147062,Alta Vacinação
DOM FELICIANO,RS,5,Baixa Vacinação
PROMISSAO,SP,27601,Alta Vacinação
ECHAPORA,SP,3988,Alta Vacinação
IMBUIA,SC,24,Baixa Vacinação
CAPARAO,MG,20,Baixa Vacinação
CARACOL,MS,23,Baixa Vacinação
SALTINHO,SC,2,Baixa Vacinação
PARARI,PB,10,Baixa Vacinação
HUMAITA,RS,5,Baixa Vacinação
PALMEIRA DOS INDIOS,AL,2470,Alta Vacinação
GARRUCHOS,RS,2,Baixa Vacinação
FORMOSO,MG,5,Baixa Vacinação
TUPANCI DO SUL,RS,5,Baixa Vacinação
SAUDADES,SC,18,Baixa Vacinação
PLACIDO DE CASTRO,AC,25,Baixa Vacinação
MONCOES,SP,1980,Alta Vacinação
MACATUBA,SP,10739,Alta Vacinação
PEDREIRA,SP,28694,Alta Vacinação
ARARA,PB,1120,Alta Vacinação
IPIGUA,SP,4674,Alta Vacinação
DIVINOLANDIA,SP,7877,Alta Vacinação
ITUETA,MG,5,Baixa Vacinação
MANOEL URBANO,AC,4,Baixa Vacinação
ORIENTE,SP,4378,Alta Vacinação
CENTENARIO,TO,3,Baixa Vacinação
FERNANDO PEDROZA,RN,6,Baixa Vacinação
MULUNGU,CE,20,Baixa Vacinação
PIRAQUE,TO,4,Baixa Vacinação
MUCAMBO,CE,853,Alta Vacinação
CUNHA PORA,SC,22,Baixa Vacinação
UBAITABA,BA,966,Alta Vacinação
EUGENIO DE CASTRO,RS,9,Baixa Vacinação
RIVERSUL,SP,4618,Alta Vacinação
Centro,SP,23,Baixa Vacinação
SANTANA DO DESERTO,MG,10,Baixa Vacinação
ARACU,GO,20,Baixa Vacinação
VILA NOVA DOS MARTIRIOS,MA,23,Baixa Vacinação
PANAMA,GO,5,Baixa Vacinação
BOM SUCESSO DO SUL,PR,13,Baixa Vacinação
UMUARAMA,PR,1188,Alta Vacinação
JUSSARA,BA,507,Alta Vacinação
JAGUARARI,BA,885,Alta Vacinação
SERRA REDONDA,PB,18,Baixa Vacinação
IGARASSU,PE,743,Alta Vacinação
HONORIO SERPA,PR,8,Baixa Vacinação
CAREIRO,AM,23,Baixa Vacinação
DORES DO RIO PRETO,ES,25,Baixa Vacinação
SANDOVALINA,SP,2934,Alta Vacinação
PASSABEM,MG,13,Baixa Vacinação
SAO FELIX DE MINAS,MG,24,Baixa Vacinação
COARACI,BA,1209,Alta Vacinação
CAMPO LIMPO PAULISTA,SP,50976,Alta Vacinação
PRESIDENTE DUTRA,BA,564,Alta Vacinação
GUARAMIRANGA,CE,9,Baixa Vacinação
CAMACHO,MG,23,Baixa Vacinação
SANTA ELENA,None,3,Baixa Vacinação
DOUTOR RICARDO,RS,7,Baixa Vacinação
UCHOA,SP,6808,Alta Vacinação
UBIRETAMA,RS,4,Baixa Vacinação
ADOLFO,SP,3968,Alta Vacinação
PAIM FILHO,RS,8,Baixa Vacinação
ESPERANCA DO SUL,RS,5,Baixa Vacinação
MINISTRO ANDREAZZA,RO,25,Baixa Vacinação
MOSSORO,RN,1126,Alta Vacinação
COSMORAMA,SP,5971,Alta Vacinação
JAGUARIBE,CE,1141,Alta Vacinação
PALMEIRA,SC,1,Baixa Vacinação
SALTO DEL GUAIRA/PY,None,1,Baixa Vacinação
TALISMA,TO,22,Baixa Vacinação
MEDINA,MG,632,Alta Vacinação
BERURI,AM,6,Baixa Vacinação
BARRETOS,"",1,Baixa Vacinação
SAO BERNARDO DO CAMPO - SP,"",2,Baixa Vacinação
JULIO MESQUITA,SP,2675,Alta Vacinação
ACOPIARA,CE,1215,Alta Vacinação
PEQUIZEIRO,TO,20,Baixa Vacinação
RESERVA DO CABACAL,MT,4,Baixa Vacinação
ALTO ALEGRE,SP,2554,Alta Vacinação
SAO SEBASTIAO DO RIO PRETO,MG,3,Baixa Vacinação
CANAPI,AL,916,Alta Vacinação
PATOS DE MINAS,MG,948,Alta Vacinação
RIO GRANDE,RS,685,Alta Vacinação
CATANDUVAS,SC,25,Baixa Vacinação
CARAGUATATUBA,None,1,Baixa Vacinação
SUME,PB,891,Alta Vacinação
CAPIXABA,AC,22,Baixa Vacinação
BOM JESUS DO ARAGUAIA,MT,19,Baixa Vacinação
PORTO WALTER,AC,5,Baixa Vacinação
VILA PROPICIO,GO,16,Baixa Vacinação
EUNAPOLIS,BA,2052,Alta Vacinação
MOJ MIRIM,"",2,Baixa Vacinação
SANTO ANTONIO DE POSSE,SP,13272,Alta Vacinação
JOAO ALFREDO,PE,1211,Alta Vacinação
VALPARAISO DE GOIAS,GO,592,Alta Vacinação
SAO DOMINGOS DO NORTE,ES,26,Baixa Vacinação
CLEMENTINA,SP,4761,Alta Vacinação
RIACHUELO,RN,14,Baixa Vacinação
PIRITIBA,BA,653,Alta Vacinação
OCAUCU,SP,3195,Alta Vacinação
OLHO D'AGUA DAS FLORES,AL,645,Alta Vacinação
TAQUARUCU DO SUL,RS,5,Baixa Vacinação
beira,None,1,Baixa Vacinação
CAUCAIA,CE,785,Alta Vacinação
TRAIRAO,PA,19,Baixa Vacinação
ALOANDIA,GO,1,Baixa Vacinação
JABORANDI,SP,4457,Alta Vacinação
BOM JESUS DA SERRA,BA,762,Alta Vacinação
EUCLIDES DA CUNHA PAULISTA,SP,5828,Alta Vacinação
boa vista,None,1,Baixa Vacinação
BARRA DO QUARAI,RS,2,Baixa Vacinação
PASSO FUNDO,RS,691,Alta Vacinação
MONTE MOR,SP,31835,Alta Vacinação
SALVADOR,BA,22863,Alta Vacinação
ESPERANTINA,PI,741,Alta Vacinação
GODOFREDO VIANA,MA,16,Baixa Vacinação
BODOCO,PE,617,Alta Vacinação
TURMALINA,SP,1471,Alta Vacinação
MONTEIRO LOBATO,SP,3103,Alta Vacinação
SERRA NEGRA,SP,15344,Alta Vacinação
DOUTOR MAURICIO CARDOSO,RS,3,Baixa Vacinação
SAO ROQUE,"",1,Baixa Vacinação
PONTES GESTAL,SP,1537,Alta Vacinação
