paciente_endereco_nmMunicipio,paciente_endereco_uf,Qtd_Vacinas,Etiqueta_Classificacao
NOVO HAMBURGO,RS,701,Alta Vacinação
BASTOS,SP,15179,Alta Vacinação
SULINA,PR,13,Baixa Vacinação
FORTALEZA DOS VALOS,RS,9,Baixa Vacinação
ATALAIA DO NORTE,AM,8,Baixa Vacinação
ALMAS,TO,12,Baixa Vacinação
BRASOPOLIS,MG,1052,Alta Vacinação
RIO DO ANTONIO,BA,741,Alta Vacinação
CHAVANTES,SP,8059,Alta Vacinação
CAMPO DO TENENTE,PR,24,Baixa Vacinação
CERRO GRANDE DO SUL,RS,3,Baixa Vacinação
DIORAMA,GO,3,Baixa Vacinação
AMORINOPOLIS,GO,7,Baixa Vacinação
QUATRO IRMAOS,RS,2,Baixa Vacinação
VERA CRUZ,SP,6160,Alta Vacinação
NOVA CANAA PAULISTA,SP,1798,Alta Vacinação
CANOAS,RS,1202,Alta Vacinação
PAO DE ACUCAR,AL,670,Alta Vacinação
RIO SONO,TO,8,Baixa Vacinação
RIO PARDO,RS,24,Baixa Vacinação
ITAGUACU,ES,25,Baixa Vacinação
HORTOLANDIA,SP,145167,Alta Vacinação
GUARACI,SP,6374,Alta Vacinação
ARACOIABA DA SERRA,SP,21302,Alta Vacinação
BARAO DO TRIUNFO,RS,1,Baixa Vacinação
IPIRA,BA,2582,Alta Vacinação
MOMBACA,CE,1941,Alta Vacinação
URUCARA,AM,20,Baixa Vacinação
PIRAJU,SP,21525,Alta Vacinação
ENCRUZILHADA,BA,685,Alta Vacinação
BAURU,SP,235217,Alta Vacinação
MACAE,RJ,1489,Alta Vacinação
ABREULANDIA,TO,14,Baixa Vacinação
IGUATU,CE,1392,Alta Vacinação
ITUIUTABA,MG,1258,Alta Vacinação
SANTO ANTONIO DA ALEGRIA,SP,4942,Alta Vacinação
VALENCA,BA,715,Alta Vacinação
PONTE NOVA,MG,518,Alta Vacinação
LAGOA DOS TRES CANTOS,RS,1,Baixa Vacinação
CAMPANARIO,MG,24,Baixa Vacinação
FONTE BOA,AM,16,Baixa Vacinação
CATOLANDIA,BA,8,Baixa Vacinação
BARREIRAS DO PIAUI,PI,5,Baixa Vacinação
TREZE DE MAIO,SC,11,Baixa Vacinação
PONTE ALTA DO BOM JESUS,TO,11,Baixa Vacinação
RUBIACEA,SP,1936,Alta Vacinação
TIMBURI,SP,2042,Alta Vacinação
SAO LUIZ,RR,10,Baixa Vacinação
PRANCHITA,PR,12,Baixa Vacinação
RIO DO CAMPO,SC,7,Baixa Vacinação
CABECEIRA GRANDE,MG,9,Baixa Vacinação
BARREIROS,PE,815,Alta Vacinação
BOQUIRA,BA,1411,Alta Vacinação
CAXIAS DO SUL,RS,1337,Alta Vacinação
ATIBAIA,SP,112069,Alta Vacinação
FERNANDES PINHEIRO,PR,14,Baixa Vacinação
BOA VENTURA DE SAO ROQUE,PR,4,Baixa Vacinação
JALES,SP,31963,Alta Vacinação
DIAMANTE DO SUL,PR,10,Baixa Vacinação
SAO JOSE DE UBA,RJ,5,Baixa Vacinação
MARIAPOLIS,SP,2597,Alta Vacinação
INVALIDO,XX,11406,Alta Vacinação
MUZAMBINHO,MG,884,Alta Vacinação
TERRA SANTA,PA,9,Baixa Vacinação
ITIUBA,BA,1221,Alta Vacinação
IRAI,RS,14,Baixa Vacinação
LAGOA DO TOCANTINS,TO,5,Baixa Vacinação
ITAJUIPE,BA,694,Alta Vacinação
CAPELINHA,MG,592,Alta Vacinação
SACRAMENTO,MG,876,Alta Vacinação
lagunave,"",2,Baixa Vacinação
PRINCESA,SC,2,Baixa Vacinação
BOTUCATU,SP,90297,Alta Vacinação
JUAZEIRO,BA,1867,Alta Vacinação
ITACARAMBI,MG,780,Alta Vacinação
BONITO,PA,10,Baixa Vacinação
PORTO RICO,PR,26,Baixa Vacinação
ITAPETININGA,SP,110010,Alta Vacinação
RIBEIRAO BRANCO,SP,13815,Alta Vacinação
VARGEM GRANDE PAULISTA,SP,35574,Alta Vacinação
CENTRO,SP,1,Baixa Vacinação
IGREJA NOVA,AL,712,Alta Vacinação
PIEDADE DOS GERAIS,MG,19,Baixa Vacinação
SANTA MARIA DA SERRA,SP,3629,Alta Vacinação
POCO DAS ANTAS,RS,4,Baixa Vacinação
PARATY,RJ,1082,Alta Vacinação
CAMAMU,BA,798,Alta Vacinação
SAO MIGUEL DOS CAMPOS,AL,967,Alta Vacinação
SAMPAIO,TO,13,Baixa Vacinação
FAXINALZINHO,RS,4,Baixa Vacinação
RIFAINA,SP,1977,Alta Vacinação
FRANCISCO MACEDO,PI,26,Baixa Vacinação
AMARALINA,GO,7,Baixa Vacinação
ESTANCIA,SE,1454,Alta Vacinação
ESPERANCA,PB,746,Alta Vacinação
DOIS CORREGOS,SP,14881,Alta Vacinação
MARTINS SOARES,MG,22,Baixa Vacinação
CENTRO DO GUILHERME,MA,19,Baixa Vacinação
AURORA DO TOCANTINS,TO,1,Baixa Vacinação
CAMPESTRE DA SERRA,RS,6,Baixa Vacinação
PONTO NOVO,BA,848,Alta Vacinação
NOVA GRANADA,SP,13309,Alta Vacinação
CANINDE DE SAO FRANCISCO,SE,896,Alta Vacinação
SITIO DO QUINTO,BA,525,Alta Vacinação
BELAGUA,MA,14,Baixa Vacinação
ALTO CAPARAO,MG,18,Baixa Vacinação
MATEIROS,TO,4,Baixa Vacinação
Centro,None,20,Baixa Vacinação
IBERTIOGA,MG,20,Baixa Vacinação
PARAUAPEBAS,PA,1040,Alta Vacinação
CRAVINHOS,SP,18859,Alta Vacinação
TORRINHA,SP,5504,Alta Vacinação
MUNDO NOVO,GO,23,Baixa Vacinação
ARVOREDO,SC,3,Baixa Vacinação
OLIVEIRA DOS BREJINHOS,BA,1413,Alta Vacinação
NOVO SAO JOAQUIM,MT,20,Baixa Vacinação
ELISIARIO,SP,2188,Alta Vacinação
BORACEIA,SP,2446,Alta Vacinação
TUCUNDUVA,RS,6,Baixa Vacinação
CALMON,SC,3,Baixa Vacinação
ENVIRA,AM,21,Baixa Vacinação
ARAGOMINAS,TO,21,Baixa Vacinação
COREMAS,PB,596,Alta Vacinação
NOVO SANTO ANTONIO,MT,7,Baixa Vacinação
APIAI,SP,16205,Alta Vacinação
GOIOERE,PR,551,Alta Vacinação
AMAPA,AP,12,Baixa Vacinação
CUPARAQUE,MG,11,Baixa Vacinação
MARAVILHA,AL,528,Alta Vacinação
SAO JORGE,RS,3,Baixa Vacinação
CUSTODIA,PE,1184,Alta Vacinação
BANNACH,PA,5,Baixa Vacinação
NOVA PADUA,RS,3,Baixa Vacinação
TAQUARITINGA,SP,34603,Alta Vacinação
CORONEL FREITAS,SC,21,Baixa Vacinação
DOURADO,SP,5547,Alta Vacinação
ENGENHEIRO COELHO,SP,10090,Alta Vacinação
ARAMBARE,RS,6,Baixa Vacinação
CHAPADAO DO LAGEADO,SC,2,Baixa Vacinação
INDEPENDENCIA,RS,20,Baixa Vacinação
SAO GONCALO DO GURGUEIA,PI,4,Baixa Vacinação
TAIUVA,SP,5652,Alta Vacinação
MAQUINE,RS,23,Baixa Vacinação
SAO JOSE DO GOIABAL,MG,18,Baixa Vacinação
DIVINOPOLIS DE GOIAS,GO,9,Baixa Vacinação
SOBRADO,PB,20,Baixa Vacinação
PEDRO TEIXEIRA,MG,4,Baixa Vacinação
BOTUVERA,SC,23,Baixa Vacinação
FUNILANDIA,MG,21,Baixa Vacinação
VITORIA DA CONQUISTA,BA,8785,Alta Vacinação
MORRO DO PILAR,MG,5,Baixa Vacinação
PEREIRA BARRETO,SP,14877,Alta Vacinação
PALMEIRANTE,TO,5,Baixa Vacinação
JANDAIA,GO,18,Baixa Vacinação
DERRUBADAS,RS,4,Baixa Vacinação
JAICOS,PI,1261,Alta Vacinação
CAXAMBU,MG,663,Alta Vacinação
CUPIRA,PE,878,Alta Vacinação
GUARAITA,GO,5,Baixa Vacinação
LAJEADO,TO,17,Baixa Vacinação
DOIS IRMAOS DO TOCANTINS,TO,16,Baixa Vacinação
SAO JOSE DO PIAUI,PI,603,Alta Vacinação
SARANDI,PR,760,Alta Vacinação
QUIJINGUE,BA,1441,Alta Vacinação
LAGOA DO PIAUI,PI,22,Baixa Vacinação
BERNARDINO DE CAMPOS,SP,8709,Alta Vacinação
CORONEL MACEDO,SP,4374,Alta Vacinação
ABDON BATISTA,SC,10,Baixa Vacinação
ELDORADO,SP,7548,Alta Vacinação
TAQUARACU DE MINAS,MG,7,Baixa Vacinação
LAVRAS DO SUL,RS,2,Baixa Vacinação
MONTE ALEGRE DO SUL,SP,3982,Alta Vacinação
NILOPOLIS,RJ,513,Alta Vacinação
MESOPOLIS,SP,1512,Alta Vacinação
VICOSA,MG,1098,Alta Vacinação
MODELO,SC,10,Baixa Vacinação
CROMINIA,GO,4,Baixa Vacinação
ITAOCA,SP,2689,Alta Vacinação
IOMERE,SC,23,Baixa Vacinação
CANDELARIA,RS,23,Baixa Vacinação
CAMPOS GERAIS,MG,515,Alta Vacinação
ANGICO,TO,4,Baixa Vacinação
COLOMBIA,SP,4032,Alta Vacinação
TRINDADE DO SUL,RS,17,Baixa Vacinação
PARAIBUNA,SP,13061,Alta Vacinação
OURO VERDE,SP,4577,Alta Vacinação
SAO JOSE DO SUL,RS,1,Baixa Vacinação
OROS,CE,879,Alta Vacinação
IBATE,SP,20486,Alta Vacinação
CRUZEIRO DO SUL,RS,10,Baixa Vacinação
ITAPAGIPE,MG,537,Alta Vacinação
TERRA DE AREIA,RS,18,Baixa Vacinação
FARO,PA,14,Baixa Vacinação
TERESOPOLIS,RJ,857,Alta Vacinação
